856_domain	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
AMGE.CH	0	1	1	0	0	0	0	0	0	0	0	0	0
AMITIES-GRECOSUISSES.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AMJCASEREP.COM	0	5	5	2	0	0	0	0	0	0	0	0	0
AMJDENT.COM	0	3	0	0	0	0	0	3	0	0	0	0	0
AMJMED.COM	0	2	2	0	0	0	0	0	0	0	0	0	0
AMN.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPERE.CNRS.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPERE.KOYRE.TGE-ADONIS.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
AMS.ORG	0	0	0	0	0	0	0	0	0	0	1	1	0
AMT.COPERNICUS.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AMUE.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ANACONDA.ORG	1	1	0	1	0	0	0	0	0	0	1	1	0
ANAE-REVUE.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ANAKARDER.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ANALUSIS.EDPSCIENCES.ORG	0	1	0	0	0	1	0	0	0	0	0	0	0
ANALYTICALSCIENCEJOURNALS.ONLINELIBRARY.WILEY.COM	0	1	0	0	0	1	0	0	0	0	1	0	1
ANATOMYPUBS.ONLINELIBRARY.WILEY.COM	0	2	0	0	2	0	0	0	0	0	1	1	1
ANCI.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ANDROLOGYJOURNAL.ORG	0	1	0	1	0	0	0	0	0	0	0	0	0
ANEF.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ANESTHESIA-ANALGESIA.ORG	0	2	1	1	0	0	0	0	0	0	0	0	0
ANESTHESIOLOGY.PUBS.ASAHQ.ORG	0	4	4	1	0	0	1	0	0	1	1	1	0
ANGLE.ORG	0	1	0	0	0	0	0	1	0	0	0	0	0
ANIMALBEHAVIORANDCOGNITION.ORG	0	1	0	0	0	0	1	0	0	0	0	0	0
ANNALESDELARECHERCHEURBAINE.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ANNALS-GENERAL-PSYCHIATRY.BIOMEDCENTRAL.COM	0	2	2	0	0	0	0	0	0	0	0	0	0
ANNALS.IN	0	1	1	0	0	0	0	0	0	0	0	0	0
ANNALS.ORG	0	7	5	2	0	0	0	0	0	0	1	1	0
ANNALSOFINTENSIVECARE.SPRINGEROPEN.COM	0	5	5	0	0	0	0	0	1	0	2	2	0
