id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type
unige:168912	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168913	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168914	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168915	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168916	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168927	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168929	2022	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	Article scientifique
unige:168933	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168952	2022	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	Article scientifique
unige:168954	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168955	2022	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	Article scientifique
unige:168956	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168957	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168959	2022	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	Article scientifique
unige:168960	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168961	2022	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	Article scientifique
unige:168962	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168963	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168965	2022	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Article scientifique
unige:168966	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168967	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168968	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168969	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168970	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168971	2022	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	Article scientifique
unige:168972	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168974	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168975	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168976	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168977	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168992	2021	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168995	2019	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168996	2022	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168997	2021	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168998	2020	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168999	2021	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169002	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	Article scientifique
unige:169008	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:169010	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:169011	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169012	2021	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169013	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
